1,"	rh-lateralorbitofrontal"
2,"	rh-parsorbitalis"
3,"	rh-frontalpole"
4,"	rh-medialorbitofrontal"
5,"	rh-parstriangularis"
6,"	rh-parsopercularis"
7,"	rh-rostralmiddlefrontal"
8,"	rh-superiorfrontal"
9,"	rh-caudalmiddlefrontal"
10,"	rh-precentral"
11,"	rh-paracentral"
12,"	rh-rostralanteriorcingulate"
13,"	rh-caudalanteriorcingulate"
14,"	rh-posteriorcingulate"
15,"	rh-isthmuscingulate"
16,"	rh-postcentral"
17,"	rh-supramarginal"
18,"	rh-superiorparietal"
19,"	rh-inferiorparietal"
20,"	rh-precuneus"
21,"	rh-cuneus"
22,"	rh-pericalcarine"
23,"	rh-lateraloccipital"
24,"	rh-lingual"
25,"	rh-fusiform"
26,"	rh-parahippocampal"
27,"	rh-entorhinal"
28,"	rh-temporalpole"
29,"	rh-inferiortemporal"
30,"	rh-middletemporal"
31,"	rh-bankssts"
32,"	rh-superiortemporal"
33,"	rh-transversetemporal"
34,"	rh-insula"
35,"	Right-Thalamus-Proper"
36,"	Right-Caudate"
37,"	Right-Putamen"
38,"	Right-Pallidum"
39,"	Right-Accumbens-area"
40,"	Right-Hippocampus"
41,"	Right-Amygdala"
42,"	lh-lateralorbitofrontal"
43,"	lh-parsorbitalis"
44,"	lh-frontalpole"
45,"	lh-medialorbitofrontal"
46,"	lh-parstriangularis"
47,"	lh-parsopercularis"
48,"	lh-rostralmiddlefrontal"
49,"	lh-superiorfrontal"
50,"	lh-caudalmiddlefrontal"
51,"	lh-precentral"
52,"	lh-paracentral"
53,"	lh-rostralanteriorcingulate"
54,"	lh-caudalanteriorcingulate"
55,"	lh-posteriorcingulate"
56,"	lh-isthmuscingulate"
57,"	lh-postcentral"
58,"	lh-supramarginal"
59,"	lh-superiorparietal"
60,"	lh-inferiorparietal"
61,"	lh-precuneus"
62,"	lh-cuneus"
63,"	lh-pericalcarine"
64,"	lh-lateraloccipital"
65,"	lh-lingual"
66,"	lh-fusiform"
67,"	lh-parahippocampal"
68,"	lh-entorhinal"
69,"	lh-temporalpole"
70,"	lh-inferiortemporal"
71,"	lh-middletemporal"
72,"	lh-bankssts"
73,"	lh-superiortemporal"
74,"	lh-transversetemporal"
75,"	lh-insula"
76,"	Left-Thalamus-Proper"
77,"	Left-Caudate"
78,"	Left-Putamen"
79,"	Left-Pallidum"
80,"	Left-Accumbens-area"
81,"	Left-Hippocampus"
82,"	Left-Amygdala"
83,"	Brain-Stem"
